keyword,tech_1,tech_1_confidence,tech_2,tech_2_confidence,notes
detection,Unused/Unsupported Cloud Regions,0.04,Environmental Keying,0.04,Obfuscated Files or Information (confidence: 0.03); Stripped Payloads (confidence: 0.03); Process Injection (confidence: 0.03); Malvertising (confidence: 0.03); Disable or Modify Tools (confidence: 0.03); Hide Artifacts (confidence: 0.03); Process Doppelgänging (confidence: 0.03); Disable Cloud Logs (confidence: 0.03); VDSO Hijacking (confidence: 0.01); Extra Window Memory Injection (confidence: 0.01); Windows Service (confidence: 0.01); Process Hollowing (confidence: 0.01); Ptrace System Calls (confidence: 0.01); Additional Email Delegate Permissions (confidence: 0.01); Cloud Account (confidence: 0.01); Proc Memory (confidence: 0.01); Thread Execution Hijacking (confidence: 0.01); Thread Local Storage (confidence: 0.01); Asynchronous Procedure Call (confidence: 0.01); Software Packing (confidence: 0.01); Portable Executable Injection (confidence: 0.01); Dynamic-link Library Injection (confidence: 0.01); Modify Cloud Compute Infrastructure (confidence: 0.01); Transfer Data to Cloud Account (confidence: 0.01); Exploitation for Defense Evasion (confidence: 0.01); Create Account (confidence: 0.01); Multi-Stage Channels (confidence: 0.01); Valid Accounts (confidence: 0.01); Data Staged (confidence: 0.01); Binary Padding (confidence: 0.01); Command Obfuscation (confidence: 0.01); Steganography (confidence: 0.01); Silver Ticket (confidence: 0.01); KernelCallbackTable (confidence: 0.01); ListPlanting (confidence: 0.01); Resource Forking (confidence: 0.01); Mavinject (confidence: 0.01); Safe Mode Boot (confidence: 0.01); Email Hiding Rules (confidence: 0.01); Network Device CLI (confidence: 0.01); TFTP Boot (confidence: 0.01); Network Security Appliances (confidence: 0.01); Run Virtual Instance (confidence: 0.01); Revert Cloud Instance (confidence: 0.01); Delete Cloud Instance (confidence: 0.01); Create Snapshot (confidence: 0.01); Indicator Blocking (confidence: 0.01); Dylib Hijacking (confidence: 0.01); Component Object Model Hijacking (confidence: 0.01); Steganography (confidence: 0.01); Junk Data (confidence: 0.01); Remote Data Staging (confidence: 0.01); NTFS File Attributes (confidence: 0.01); Dynamic Linker Hijacking (confidence: 0.01); Hidden Files and Directories (confidence: 0.01); Archive Collected Data (confidence: 0.01); Impair Defenses (confidence: 0.01)
initial,Acquire Access,0.04,Application Access Token,0.04,Credentials (confidence: 0.02); Business Relationships (confidence: 0.02); Gather Victim Org Information (confidence: 0.02); Network Security Appliances (confidence: 0.02); IP Addresses (confidence: 0.02); Network Topology (confidence: 0.02); Network Trust Dependencies (confidence: 0.02); DNS (confidence: 0.02); Domain Properties (confidence: 0.02); Gather Victim Network Information (confidence: 0.02); Employee Names (confidence: 0.02); Email Addresses (confidence: 0.02); Gather Victim Identity Information (confidence: 0.02); Identify Business Tempo (confidence: 0.02); Exploits (confidence: 0.02); Time Based Evasion (confidence: 0.02); Disk Structure Wipe (confidence: 0.02); Web Portal Capture (confidence: 0.02); Mshta (confidence: 0.02); Cron (confidence: 0.02); Scheduled Task (confidence: 0.02); At (confidence: 0.02); Drive-by Compromise (confidence: 0.02); Hardware Additions (confidence: 0.02); Determine Physical Locations (confidence: 0.02); Identify Roles (confidence: 0.02); Code Repositories (confidence: 0.02); WHOIS (confidence: 0.02); Device Registration (confidence: 0.02); Link Target (confidence: 0.02); Stage Capabilities (confidence: 0.02); Systemd Timers (confidence: 0.02); Purchase Technical Data (confidence: 0.02); Threat Intel Vendors (confidence: 0.02); Search Closed Sources (confidence: 0.02); Scan Databases (confidence: 0.02); CDNs (confidence: 0.02); Digital Certificates (confidence: 0.02); DNS/Passive DNS (confidence: 0.02); Search Open Technical Databases (confidence: 0.02); Gather Victim Host Information (confidence: 0.02); Vulnerability Scanning (confidence: 0.02); Scanning IP Blocks (confidence: 0.02); Active Scanning (confidence: 0.02); Search Victim-Owned Websites (confidence: 0.02); Search Engines (confidence: 0.02); Social Media (confidence: 0.02); Search Open Websites/Domains (confidence: 0.02); Client Configurations (confidence: 0.02); Firmware (confidence: 0.02); Software (confidence: 0.02); Hardware (confidence: 0.02); Scheduled Task/Job (confidence: 0.02)
agent,Transport Agent,0.31,Hybrid Identity,0.23,SSH Hijacking (confidence: 0.15); Client Configurations (confidence: 0.08); Software (confidence: 0.08); Hardware (confidence: 0.08); Launch Agent (confidence: 0.08)
service,Services Registry Permissions Weakness,0.07,Systemd Service,0.04,Kerberoasting (confidence: 0.04); Service Execution (confidence: 0.03); Disable Windows Event Logging (confidence: 0.03); Windows Service (confidence: 0.03); Bidirectional Communication (confidence: 0.03); Print Processors (confidence: 0.02); Virtual Private Server (confidence: 0.02); Emond (confidence: 0.02); One-Way Communication (confidence: 0.02); Service Exhaustion Flood (confidence: 0.02); Web Services (confidence: 0.01); Silver Ticket (confidence: 0.01); External Remote Services (confidence: 0.01); OS Exhaustion Flood (confidence: 0.01); Golden Ticket (confidence: 0.01); Endpoint Denial of Service (confidence: 0.01); Virtual Private Server (confidence: 0.01); Web Portal Capture (confidence: 0.01); Cloud Instance Metadata API (confidence: 0.01); Remote Service Session Hijacking (confidence: 0.01); Application Access Token (confidence: 0.01); Pass the Ticket (confidence: 0.01); Unused/Unsupported Cloud Regions (confidence: 0.01); Cloud Account (confidence: 0.01); Spearphishing via Service (confidence: 0.01); Exfiltration to Cloud Storage (confidence: 0.01); Steal or Forge Kerberos Tickets (confidence: 0.01); Steal Application Access Token (confidence: 0.01); Exfiltration Over Web Service (confidence: 0.01); Cloud Accounts (confidence: 0.01); Additional Cloud Roles (confidence: 0.01); Masquerade Task or Service (confidence: 0.01); Credentials In Files (confidence: 0.01); CMSTP (confidence: 0.01); Direct Network Flood (confidence: 0.01); Time Providers (confidence: 0.01); Container Administration Command (confidence: 0.01); Dead Drop Resolver (confidence: 0.01); Multi-Factor Authentication Interception (confidence: 0.01); Web Services (confidence: 0.01); Exploitation of Remote Services (confidence: 0.01); Traffic Signaling (confidence: 0.01); Web Service (confidence: 0.01); Services File Permissions Weakness (confidence: 0.01); Modify Cloud Compute Infrastructure (confidence: 0.01); Network Service Discovery (confidence: 0.0); Windows Management Instrumentation (confidence: 0.0); Input Capture (confidence: 0.0); System Information Discovery (confidence: 0.0); Network Sniffing (confidence: 0.0); Event Triggered Execution (confidence: 0.0); Exploitation for Privilege Escalation (confidence: 0.0); Additional Email Delegate Permissions (confidence: 0.0); Masquerading (confidence: 0.0); Launch Daemon (confidence: 0.0); Cloud Service Dashboard (confidence: 0.0); Modify Registry (confidence: 0.0); Brute Force (confidence: 0.0); Data from Cloud Storage (confidence: 0.0); Remote Access Software (confidence: 0.0); Exploitation for Defense Evasion (confidence: 0.0); Exploitation for Credential Access (confidence: 0.0); At (confidence: 0.0); Steal Web Session Cookie (confidence: 0.0); Resource Hijacking (confidence: 0.0); Transfer Data to Cloud Account (confidence: 0.0); Port Monitors (confidence: 0.0); Cloud Administration Command (confidence: 0.0); LLMNR/NBT-NS Poisoning and SMB Relay (confidence: 0.0); Local Account (confidence: 0.0); Protocol Impersonation (confidence: 0.0); Create Snapshot (confidence: 0.0); Cloud Infrastructure Discovery (confidence: 0.0); Botnet (confidence: 0.0); Domains (confidence: 0.0); Botnet (confidence: 0.0); Credentials (confidence: 0.0); Network Trust Dependencies (confidence: 0.0); IP Addresses (confidence: 0.0); Business Relationships (confidence: 0.0); Systemd Timers (confidence: 0.0); Container API (confidence: 0.0); System Location Discovery (confidence: 0.0); Cloud Storage Object Discovery (confidence: 0.0); XPC Services (confidence: 0.0); Terminal Services DLL (confidence: 0.0); Create Cloud Instance (confidence: 0.0); Cloud Accounts (confidence: 0.0); Domain Account (confidence: 0.0); Local Accounts (confidence: 0.0); Web Session Cookie (confidence: 0.0); Remote Desktop Protocol (confidence: 0.0); Windows Remote Management (confidence: 0.0); Credential Stuffing (confidence: 0.0); LSASS Memory (confidence: 0.0); Modify Authentication Process (confidence: 0.0); Keychain (confidence: 0.0); Application Exhaustion Flood (confidence: 0.0); Application or System Exploitation (confidence: 0.0); LSA Secrets (confidence: 0.0); Email Account (confidence: 0.0); Reflection Amplification (confidence: 0.0); Exfiltration to Code Repository (confidence: 0.0); Launchctl (confidence: 0.0); Default Accounts (confidence: 0.0); Remote Services (confidence: 0.0)
type,Double File Extension,0.13,XDG Autostart Entries,0.08,Stored Data Manipulation (confidence: 0.05); Kernel Modules and Extensions (confidence: 0.05); Bash History (confidence: 0.05); Command Obfuscation (confidence: 0.03); Space after Filename (confidence: 0.03); Masquerading (confidence: 0.03); Indicator Removal (confidence: 0.03); Automated Collection (confidence: 0.03); Endpoint Denial of Service (confidence: 0.03); Change Default File Association (confidence: 0.03); Emond (confidence: 0.03); Sudo and Sudo Caching (confidence: 0.03); Clear Command History (confidence: 0.03); Right-to-Left Override (confidence: 0.03); Keylogging (confidence: 0.03); Masquerade File Type (confidence: 0.03); GUI Input Capture (confidence: 0.03); Service Exhaustion Flood (confidence: 0.03); Impair Command History Logging (confidence: 0.03); Security Software Discovery (confidence: 0.03); Data Manipulation (confidence: 0.03); Transmitted Data Manipulation (confidence: 0.03); Runtime Data Manipulation (confidence: 0.03); Reflection Amplification (confidence: 0.03); Firmware (confidence: 0.03); Container Orchestration Job (confidence: 0.03); HTML Smuggling (confidence: 0.03); Application Window Discovery (confidence: 0.03)
Manager,Windows Credential Manager,0.35,Cloud Administration Command,0.12,CMSTP (confidence: 0.12); Password Managers (confidence: 0.08); Cloud Service Discovery (confidence: 0.08); Hidden Users (confidence: 0.04); Service Execution (confidence: 0.04); Credentials from Web Browsers (confidence: 0.04); Password Filter DLL (confidence: 0.04); Modify Authentication Process (confidence: 0.04); Security Account Manager (confidence: 0.04); Registry Run Keys / Startup Folder (confidence: 0.04)
denial,Reflection Amplification,0.17,Direct Network Flood,0.17,Application or System Exploitation (confidence: 0.17); Application Exhaustion Flood (confidence: 0.17); Service Exhaustion Flood (confidence: 0.17); OS Exhaustion Flood (confidence: 0.17)
Apple,Remote Services,0.12,Login Items,0.1,Code Signing Policy Modification (confidence: 0.1); JavaScript (confidence: 0.1); Securityd Memory (confidence: 0.07); Gatekeeper Bypass (confidence: 0.07); Login Hook (confidence: 0.05); Kernel Modules and Extensions (confidence: 0.05); Keychain (confidence: 0.05); Clear Network Connection History and Configurations (confidence: 0.05); Pluggable Authentication Modules (confidence: 0.05); Plist File Modification (confidence: 0.02); Unix Shell (confidence: 0.02); Dynamic Linker Hijacking (confidence: 0.02); Steal or Forge Kerberos Tickets (confidence: 0.02); Hidden Users (confidence: 0.02); RC Scripts (confidence: 0.02); XPC Services (confidence: 0.02); Native API (confidence: 0.02); AppleScript (confidence: 0.02)
runtime,Patch System Image,0.13,JavaScript,0.13,Dylib Hijacking (confidence: 0.13); Runtime Data Manipulation (confidence: 0.13); Dynamic API Resolution (confidence: 0.07); Serverless (confidence: 0.07); Serverless (confidence: 0.07); Plist File Modification (confidence: 0.07); Deploy Container (confidence: 0.07); Modify System Image (confidence: 0.07); SQL Stored Procedures (confidence: 0.07)
information,Phishing for Information,0.02,Spearphishing Link,0.02,Spearphishing Attachment (confidence: 0.02); Data from Information Repositories (confidence: 0.02); Spearphishing Service (confidence: 0.02); Social Media (confidence: 0.01); System Information Discovery (confidence: 0.01); Domain Properties (confidence: 0.01); File and Directory Discovery (confidence: 0.01); DNS (confidence: 0.01); Scan Databases (confidence: 0.01); System Owner/User Discovery (confidence: 0.01); WHOIS (confidence: 0.01); SNMP (MIB Dump) (confidence: 0.01); DNS/Passive DNS (confidence: 0.01); Hardware (confidence: 0.01); Gather Victim Host Information (confidence: 0.01); Identify Roles (confidence: 0.01); Identify Business Tempo (confidence: 0.01); Purchase Technical Data (confidence: 0.01); Software (confidence: 0.01); Firmware (confidence: 0.01); Client Configurations (confidence: 0.01); Digital Certificates (confidence: 0.01); Query Registry (confidence: 0.01); Cloud Infrastructure Discovery (confidence: 0.01); System Network Connections Discovery (confidence: 0.01); Domains (confidence: 0.01); Browser Information Discovery (confidence: 0.01); Network Topology (confidence: 0.01); Search Engines (confidence: 0.01); Network Security Appliances (confidence: 0.01); Business Relationships (confidence: 0.01); System Network Configuration Discovery (confidence: 0.01); Network Trust Dependencies (confidence: 0.01); Gather Victim Org Information (confidence: 0.01); Gather Victim Network Information (confidence: 0.01); Cloud Service Dashboard (confidence: 0.01); Digital Certificates (confidence: 0.01); Establish Accounts (confidence: 0.01); Search Open Websites/Domains (confidence: 0.01); Forced Authentication (confidence: 0.01); Gather Victim Identity Information (confidence: 0.01); Cloud Instance Metadata API (confidence: 0.01); Application Window Discovery (confidence: 0.01); Password Policy Discovery (confidence: 0.01); NTDS (confidence: 0.01); CDNs (confidence: 0.01); Search Closed Sources (confidence: 0.01); Threat Intel Vendors (confidence: 0.01); System Time Discovery (confidence: 0.01); Code Repositories (confidence: 0.01); System Service Discovery (confidence: 0.01); Group Policy Discovery (confidence: 0.01); Sharepoint (confidence: 0.01); Email Forwarding Rule (confidence: 0.0); Domain Trust Discovery (confidence: 0.0); Remote Email Collection (confidence: 0.0); Peripheral Device Discovery (confidence: 0.0); Email Collection (confidence: 0.0); Security Software Discovery (confidence: 0.0); Process Discovery (confidence: 0.0); Transmitted Data Manipulation (confidence: 0.0); Confluence (confidence: 0.0); System Checks (confidence: 0.0); Modify Registry (confidence: 0.0); Services Registry Permissions Weakness (confidence: 0.0); Permission Groups Discovery (confidence: 0.0); Social Media Accounts (confidence: 0.0); Determine Physical Locations (confidence: 0.0); Digital Certificates (confidence: 0.0); Process Argument Spoofing (confidence: 0.0); Code Repositories (confidence: 0.0); System Location Discovery (confidence: 0.0); Container and Resource Discovery (confidence: 0.0); Link Target (confidence: 0.0); Install Digital Certificate (confidence: 0.0); DHCP Spoofing (confidence: 0.0); Clear Network Connection History and Configurations (confidence: 0.0); Stripped Payloads (confidence: 0.0); Credentials in Registry (confidence: 0.0); Vulnerabilities (confidence: 0.0); Search Open Technical Databases (confidence: 0.0); Scanning IP Blocks (confidence: 0.0); Active Scanning (confidence: 0.0); Search Victim-Owned Websites (confidence: 0.0); IP Addresses (confidence: 0.0); Steganography (confidence: 0.0); Credentials (confidence: 0.0); Cloud Service Discovery (confidence: 0.0); Network Sniffing (confidence: 0.0); System Language Discovery (confidence: 0.0); Startup Items (confidence: 0.0); Browser Extensions (confidence: 0.0); Drive-by Compromise (confidence: 0.0); Proc Memory (confidence: 0.0); Software Discovery (confidence: 0.0); Virtualization/Sandbox Evasion (confidence: 0.0); Internal Spearphishing (confidence: 0.0); Rogue Domain Controller (confidence: 0.0); Data from Cloud Storage (confidence: 0.0); Browser Session Hijacking (confidence: 0.0); Device Driver Discovery (confidence: 0.0); Network Share Discovery (confidence: 0.0); Deobfuscate/Decode Files or Information (confidence: 0.0); Data from Local System (confidence: 0.0); Rootkit (confidence: 0.0); Remote System Discovery (confidence: 0.0); Automated Exfiltration (confidence: 0.0); Data from Removable Media (confidence: 0.0); Scheduled Transfer (confidence: 0.0); Windows Service (confidence: 0.0); Boot or Logon Initialization Scripts (confidence: 0.0); Data from Network Shared Drive (confidence: 0.0); Network Service Discovery (confidence: 0.0); Windows Management Instrumentation (confidence: 0.0); Exfiltration Over Alternative Protocol (confidence: 0.0); Input Capture (confidence: 0.0); Exploitation for Privilege Escalation (confidence: 0.0); Software Deployment Tools (confidence: 0.0); Account Discovery (confidence: 0.0); Multi-Stage Channels (confidence: 0.0); Screen Capture (confidence: 0.0); Clipboard Data (confidence: 0.0); Automated Collection (confidence: 0.0); Audio Capture (confidence: 0.0); Video Capture (confidence: 0.0); Data Encoding (confidence: 0.0); Systemd Service (confidence: 0.0); Hidden Files and Directories (confidence: 0.0); Boot or Logon Autostart Execution (confidence: 0.0); Exploits (confidence: 0.0); Local Groups (confidence: 0.0); Dead Drop Resolver (confidence: 0.0); Standard Encoding (confidence: 0.0); Non-Standard Encoding (confidence: 0.0); Steganography (confidence: 0.0); Indicator Blocking (confidence: 0.0); Environmental Keying (confidence: 0.0); Pluggable Authentication Modules (confidence: 0.0); Compromise Infrastructure (confidence: 0.0); Virtual Private Server (confidence: 0.0); Compromise Accounts (confidence: 0.0); Social Media Accounts (confidence: 0.0); Obtain Capabilities (confidence: 0.0); User Activity Based Checks (confidence: 0.0); Code Signing Certificates (confidence: 0.0); Email Addresses (confidence: 0.0); Employee Names (confidence: 0.0); ARP Cache Poisoning (confidence: 0.0); Reduce Key Space (confidence: 0.0); Network Device Configuration Dump (confidence: 0.0); Network Device CLI (confidence: 0.0); Cloud Storage Object Discovery (confidence: 0.0); Reversible Encryption (confidence: 0.0); Wordlist Scanning (confidence: 0.0); Debugger Evasion (confidence: 0.0); Exfiltration to Text Storage Sites (confidence: 0.0); PowerShell (confidence: 0.0); Runtime Data Manipulation (confidence: 0.0); CMSTP (confidence: 0.0); Keychain (confidence: 0.0); Pass the Ticket (confidence: 0.0); Application Access Token (confidence: 0.0); Web Session Cookie (confidence: 0.0); Clear Command History (confidence: 0.0); Invalid Code Signature (confidence: 0.0); VNC (confidence: 0.0); Credential Stuffing (confidence: 0.0); DCSync (confidence: 0.0); /etc/passwd and /etc/shadow (confidence: 0.0); Credentials from Password Stores (confidence: 0.0); Adversary-in-the-Middle (confidence: 0.0); LLMNR/NBT-NS Poisoning and SMB Relay (confidence: 0.0); Local Email Collection (confidence: 0.0); Stored Data Manipulation (confidence: 0.0); Application or System Exploitation (confidence: 0.0); Archive Collected Data (confidence: 0.0); Disk Structure Wipe (confidence: 0.0); Disable or Modify Tools (confidence: 0.0); Impair Command History Logging (confidence: 0.0); Install Root Certificate (confidence: 0.0); Local Account (confidence: 0.0); Domain Account (confidence: 0.0); Domain Groups (confidence: 0.0); Cloud Groups (confidence: 0.0); Spoof Security Alerting (confidence: 0.0); Data Manipulation (confidence: 0.0); OS Credential Dumping (confidence: 0.0)
